Name,Height(in cm),Debut aslead role,ÿÿ
Aishwarya Rai,165,Aur Pyar Ho Gaya,
Alia Bhatt,155,Student of the Year,
Ameesha Patel,152,Kaho Naa... Pyaar Hai,
Amrita Arora,165,Awara Paagal Deewana,
Amrita Rao,162,Ab Ke Baras,
Amrita Singh,157,Betaab,
Amy Jackson,163,Ekk Deewana Tha,
Amyra Dastur,170,Issaq,
Anushka Sharma,168,Rab Ne Bana Di Jodi,
Asha Parekh,161,Jab Pyar Kisi Se Hota Hai,
Asin ,163,Ghajini,
Athiya Shetty,173,Hero,
Ayesha Jhulka,159,Jo Jeeta Wohi Sikandar,
Ayesha Takia,160,Taarzan: The Wonder Car,
Bhagyashree,157,Maine Pyar Kiya,
Bhumi Pednekar,157,Dum Laga Ke Haisha,
Bindiya Goswami,163,Mera Yaar Mera Dushman,
Bipasha Basu,170,Ajnabee,
Celina Jaitly,168,Janasheen,
Daisy Shah,161,Tere Naam,
Deepika Padukone,171,Om Shanti Om,
Dia Mirza,168,Tumsa Nahin Dekha,
Diana Penty,171,Cocktail,
Dimple Kapadia,159,Bobby,
Disha Patani,170,M.S. Dhoni: The Untold Story,
Divya Bharti,163,Deewana,
Esha Deol,168,Koi Mere Dil Se Pooche,
Esha Gupta,171,Jannat 2,
Farida Jalal,155,Laal Patthar,
Fatima Sana Shaikh,160,Dangal,
Genelia D'Souza,168,Tujhe Meri Kasam,
Hema Malini,168,Sapno Ka Saudagar,
Huma Qureshi,170,Gangs of Wasseypur ƒ?? Part 1,
Ileana D'Cruz,157,Barfi!,
Isha Koppikar,170,Don,
Jacqueline Fernandez,163,Aladin,
Janhvi Kapoor,163,Dhadak,
Jaya Bachchan,157,Guddi,
Jaya Prada,157,Sargam,
Jayalalithaa,167,Izzat,
Juhi Chawla,160,Qayamat Se Qayamat Tak,
Kajal Aggarwal,165,Singham,
Kajol,160,Bekhudi,
Kalpana Kartik,170,Baazi,
Kangana Ranaut,166,Fashion,
Kareena Kapoor,163,Refugee,
Karisma Kapoor,163,Anari,
Katrina Kaif,168,Boom,
Keerthi Reddy,157,Pyaar Ishq Aur Mohabbat,
Kiara Advani,157,Fugly,
Kim Sharma,160,Mohabbatein,
Kriti Kharbanda,155,Raaz Reboot,
Kriti Sanon,175,Heropanti,
Lara Dutta,173,No Entry,
Lisa Haydon,173,Queen,
Madhoo,165,Phool Aur Kaante,
Madhubala,163,Neel Kamal,
Madhuri Dixit,163,Tezaab,
Mahima Chaudhry,165,Pardes,
Mala Sinha,157,Dhool Ka Phool,
Mallika Sherawat,164,Murder,
Mamta Kulkarni,158,Karan Arjun,
Mandakini,159,Ram Teri Ganga Maili,
Manisha Koirala,165,1942: A Love Story,
Meena Kumari,160,Bachchon Ka Khel,
Meenakshi Seshadri,168,Hero,
Mithila Palkar,160,Karwaan,
Monica Bedi,170,Pyaar Ishq Aur Mohabbat,
Mouni Roy,160,Gold,
Mumtaz,170,Do Raaste,
Nandita Das,157,Parinati,
Nargis,163,Taqdeer,
Nargis Fakhri,170,Rockstar,
Neetu Singh,165,Khel Khel Mein,
Neha Dhupia,168,Julie,
Neha Sharma,166,Crook,
Nimmi,157,Barsaat,
Nirupa Roy,160,Har Har Mahadev,
Nutan,163,Sujata,
Padmini Kolhapure,163,Prem Rog,
Parineeti Chopra,160,Ishaqzaade,
Parveen Babi,170,Deewaar,
Pooja Batra,175,Virasat,
Pooja Bhatt,159,Dil Hai Ki Manta Nahin,
Prachi Desai,163,Rock On!!,
Preeti Jhangiani,165,Mohabbatein,
Preity Zinta,163,Soldier,
Priyanka Chopra,165,Aitraaz,
Raakhee,159,Sharmilee,
Radhika Apte,160,Vaah! Life Ho Toh Aisi!,
Rani Mukerji,156,Ghulam,
Rati Agnihotri,164,Ek Duuje Ke Liye,
Raveena Tandon,163,Patthar Ke Phool,
Reena Roy,163,Naagin,
Rekha,165,Anjana Safar,
Richa Chadda,165,Oye Lucky! Lucky Oye!,
Ritika Singh,165,Saala Khadoos,
Saira Banu,168,Junglee,
Sakshi Shivanand,167,Aapko Pehle Bhi Kahin Dekha Hai,
Sandali Sinha,168,Tum Bin,
Sandhya,160,Teen Batti Char Raasta,
Sara Ali Khan,163,Kedarnath,
Savitri,157,Ganga Ki Lahren,
Shabana Azmi,168,Ankur,
Shamita Shetty,158,Mohabbatein,
Sharmila Tagore,157,Kashmir Ki Kali,
Shilpa Shetty,167,Baazigar,
Shraddha Kapoor,162,Teen Patti,
Shriya Saran,164,Thoda Tum Badlo Thoda Hum,
Shruti Haasan,171,Luck,
Smita Patil,180,Bhumika,
Soha Ali Khan,152,Rang De Basanti,
Sonakshi Sinha,167,Dabang,
Sonali Bendre,167,Major Saab,
Sonam Kapoor,175,Saawariya,
Sridevi,168,Himmatwala,
Suchitra Sen,170,Devdas,
Sunny Leone,163,Jism 2,
Sushmita Sen,171,Biwi No.1,
Tabu,169,Maachis,
Tamannaah,161,Chand Sa Roshan Chehra,
Tanuja Samarth,152,Hamari Yaad Aayegi,
Twinkle Khanna,163,Barsaat,
Urmila Matondkar,156,Rangeela,
Urvashi Rautela,168,Singh Saab the Great,
Vaani Kapoor,165,Shuddh Desi Romance,
Vidya Balan,163,Parineeta,
Vyjayanthimala,160,Nagin,
Waheeda Rehman,155,Pyaasa,
Warina Hussain,163,Loveratri,
Yami Gautam,161,Vicky Donor,
Zaira Wasim,155,Dangal,
Zarine Khan,165,Veer,
Zeenat Aman,175,Hare Rama Hare Krishna,
